Substructure	N_raw	frac.	[Fe/H]	[alpha/Fe]	ecc.	r_gal	$|{Z}_{\mathrm{gal}}|$	(J_z-J_R)/J_tot	E_tot	L_z	
						(kpc)	(kpc)		(10^5 km^2 s^-2)	(10^3 kpc km s^-1)	
Gaia-Sausage-Enceladus	2684	0.42	-1.15	0.21	0.84	17.72	12.88	-0.50	-1.04	-0.01	
Sagittarius	675	0.24	-0.96	0.12	0.54	32.31	24.13	0.51	-0.67	-1.51	
High-alpha_Disk_+_In_Situ_Halo	950	0.15	-0.54	0.34	0.48	9.00	3.53	-0.03	-1.34	-0.94	
Arjuna	139	0.02	-1.20	0.24	0.55	22.91	16.66	0.16	-0.91	1.73	
Metal-weak_Thick_Disk	144	0.02	-1.12	0.32	0.47	8.60	4.25	0.04	-1.38	-0.9	
Aleph	122	0.02	-0.51	0.19	0.13	11.06	3.51	0.07	-1.13	-2.36	
Wukong	111	0.01	-1.58	0.24	0.56	12.75	9.55	0.42	-1.18	-0.59	
Helmi_Streams	91	0.01	-1.28	0.15	0.46	17.17	13.55	0.47	-1.03	-1.14	
Sequoia	72	0.01	-1.59	0.14	0.56	15.55	11.02	0.16	-1.02	1.31	
I'itoi	65	0.01	-2.39	0.38	0.47	12.37	7.46	0.09	-1.04	1.35	
Thamnos	32	0.01	-1.90	0.29	0.46	8.68	5.11	0.41	-1.35	0.46	
